format=v2.tables.scan.v1  Qwen3-1.7B, every table read word by word (bf16: sign bit 15, exponent bits 14..7, mantissa bits 6..0)
[B] 'any 0' read as: any value that reads 0.… ; ×(2×5) = times the whole table is multiplied until none does
table                                            shape          values       zeros   smallest        ×(2×5)  largest
model.layers.24.self_attn.o_proj.weight          2048x2048      4194304      0       169/2^35        9       154/2^9
model.layers.24.self_attn.q_norm.weight          128            128          0       148/2^14        3       180/2^6
model.layers.24.self_attn.q_proj.weight          2048x2048      4194304      0       181/2^36        9       222/2^9
model.layers.24.self_attn.v_proj.weight          1024x2048      2097152      0       143/2^32        8       174/2^9
model.layers.25.input_layernorm.weight           2048           2048         0       143/2^5         0       243/2^1
model.layers.25.mlp.down_proj.weight             2048x6144      12582912     0       219/2^36        9       236/2^8
model.layers.25.mlp.gate_proj.weight             6144x2048      12582912     0       140/2^39        10      194/2^8
model.layers.25.mlp.up_proj.weight               6144x2048      12582912     0       155/2^35        9       223/2^8
model.layers.25.post_attention_layernorm.weight  2048           2048         0       142/2^17        3       149/2^4
model.layers.25.self_attn.k_norm.weight          128            128          0       138/2^16        3       183/2^5
model.layers.25.self_attn.k_proj.weight          1024x2048      2097152      0       145/2^37        9       183/2^9
model.layers.25.self_attn.o_proj.weight          2048x2048      4194304      0       155/2^36        9       153/2^9
model.layers.25.self_attn.q_norm.weight          128            128          0       140/2^18        4       202/2^6
model.layers.25.self_attn.q_proj.weight          2048x2048      4194304      0       207/2^37        9       129/2^8
model.layers.25.self_attn.v_proj.weight          1024x2048      2097152      0       206/2^35        9       161/2^9
model.layers.26.input_layernorm.weight           2048           2048         0       232/2^6         0       136·2^0
model.layers.26.mlp.down_proj.weight             2048x6144      12582912     0       138/2^34        9       151/2^7
model.layers.26.mlp.gate_proj.weight             6144x2048      12582912     0       211/2^36        9       174/2^8
model.layers.26.mlp.up_proj.weight               6144x2048      12582912     0       245/2^37        9       156/2^8
model.layers.26.post_attention_layernorm.weight  2048           2048         0       131/2^19        4       204/2^3
